Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z
0.77,0,1.804052,2,-0.42221,2,1.986797,2,1.917791,2,16.860486,2,2.156655,2,2.09029,2,0.104096,0.154372,0.092494,0.009991,-0.125689,-0.033839
0.78,0,1.774638,2,-0.430329,2,1.949661,2,1.895601,2,17.49594,2,2.126378,2,2.015039,2,0.103452,0.154695,0.093461,0.010313,-0.127945,-0.034806
0.79,0,1.769035,2,-0.430329,2,2.042502,2,1.94632,2,17.641822,2,2.175287,2,2.067993,2,0.108931,0.163718,0.095073,0.010635,-0.131813,-0.034484
0.8,0,1.767634,2,-0.443862,2,1.946566,2,1.924131,2,18.034963,2,2.203235,2,2.104225,2,0.113765,0.172742,0.098295,0.01128,-0.136969,-0.035451
0.81,0,1.729817,2,-0.450628,2,2.027028,2,1.882922,2,18.798991,2,2.189261,2,2.001104,2,0.115376,0.174676,0.100874,0.011924,-0.140837,-0.036418
0.82,0,1.713009,2,-0.456041,2,2.051786,2,1.911451,2,19.298454,2,2.228854,2,2.045697,2,0.125367,0.190145,0.104097,0.012247,-0.145993,-0.038029
0.83,0,1.666787,2,-0.472279,2,2.00846,2,1.889262,2,20.240509,2,2.289408,2,2.093077,2,0.13149,0.200781,0.109253,0.013536,-0.153728,-0.040607
0.84,0,1.612161,2,-0.487165,2,2.092017,2,1.892432,2,21.254269,2,2.326672,2,2.015039,2,0.138903,0.212383,0.11312,0.01418,-0.160173,-0.04093
0.85,0,1.565939,2,-0.495285,2,2.126059,2,1.898771,2,21.936703,2,2.375581,2,2.048484,2,0.146315,0.225919,0.117955,0.015147,-0.167586,-0.042541
0.86,0,1.507111,2,-0.507464,2,2.020839,2,1.860733,2,22.990026,2,2.326672,2,1.911918,2,0.149538,0.230753,0.121177,0.015469,-0.173709,-0.045119
0.87,0,1.465092,2,-0.503404,2,2.064165,2,1.797335,2,23.872741,2,2.391884,2,2.001104,2,0.152116,0.235265,0.123111,0.015469,-0.175965,-0.046408
0.88,0,1.544929,2,-0.523702,2,1.974418,2,1.857563,2,23.531524,2,2.443122,2,2.056845,2,0.161785,0.249767,0.127301,0.017403,-0.182733,-0.046731
0.89,0,1.649979,2,-0.526409,2,1.881577,2,1.803674,2,24.795018,2,2.487373,2,1.99553,2,0.160495,0.248478,0.128268,0.017081,-0.1837,-0.04802
0.9,0,1.732618,2,-0.520996,2,1.937282,2,1.756126,2,25.222776,2,2.438464,2,2.045697,2,0.16533,0.255246,0.130201,0.017725,-0.186923,-0.048342
0.91,0,1.819459,2,-0.533175,2,2.023934,2,1.733936,2,25.400803,2,2.440793,2,2.093077,2,0.162107,0.25009,0.129234,0.017403,-0.184667,-0.048342
